symbol  frequency  huffman code

e        12.5000%      011
a         9.2424%      110
n         8.4848%      0001
t         8.1061%      0010
o         7.0455%      0100
i         6.8939%      0101
s         5.5303%      1001
r         5.2273%      1011
h         4.6970%      1110
m         4.5455%      1111
c         4.2424%      00001
l         3.7879%      00110
d         3.0303%      10000
p         3.0303%      10001
y         2.8030%      10100
f         2.4242%      000000
u         2.0455%      000001
w         0.9848%      0011101
g         0.9091%      0011110
b         0.8333%      0011111
v         0.8333%      1010100
I         0.3788%      00111001
C         0.3030%      10101011
M         0.3030%      10101101
A         0.1515%      101011000
S         0.1515%      101011110
T         0.1515%      101011111
Y         0.1515%      0011100001
x         0.1515%      0011100010
0         0.0758%      1010101000
1         0.0758%      1010101001
2         0.0758%      1010101010
5         0.0758%      1010101011
D         0.0758%      1010110010
F         0.0758%      1010110011
H         0.0758%      1010111000
K         0.0758%      1010111001
O         0.0758%      1010111010
P         0.0758%      1010111011
R         0.0758%      00111000000
W         0.0758%      00111000001
q         0.0758%      00111000110
z         0.0758%      00111000111

total bits: 5669
